4459993,QUEENS,9,15,0,0,Distraction,SEDAN
4415188,UNKNOWN,5,12,0,1,Other_Unknown,SEDAN
4493654,UNKNOWN,1,15,0,0,Human_Error,SEDAN
4423557,UNKNOWN,6,19,0,0,Distraction,OTHER
4423507,QUEENS,6,16,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4543113,STATEN ISLAND,7,0,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4542606,QUEENS,7,22,0,0,DUI_Drugs,STATION WAGON/SPORT UTILITY VEHICLE
4515073,MANHATTAN,3,11,0,0,Distraction,BOX TRUCK
4514714,BROOKLYN,3,16,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4424590,BROOKLYN,6,16,1,1,Distraction,SEDAN
4424268,BRONX,6,15,0,1,Aggressive_Driving,SEDAN
4456628,BROOKLYN,7,17,1,0,Human_Error,E-BIKE
4408057,UNKNOWN,4,16,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4424585,UNKNOWN,6,15,0,0,Aggressive_Driving,BUS
4424758,QUEENS,6,14,0,0,Distraction,E-BIKE
4417225,BROOKLYN,5,23,0,0,Human_Error,SEDAN
4415202,QUEENS,5,14,0,0,Aggressive_Driving,SEDAN
4407974,UNKNOWN,4,0,0,1,Aggressive_Driving,SEDAN
4407364,QUEENS,4,6,0,0,Other_Unknown,SEDAN
4408414,QUEENS,4,19,0,0,Human_Error,SEDAN
4425722,MANHATTAN,5,16,1,1,Other_Unknown,UNKNOWN
4456551,MANHATTAN,9,16,1,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4455897,BROOKLYN,9,18,1,1,Other_Unknown,E-BIKE
4425151,BROOKLYN,6,15,0,0,Vehicle_Fail,STATION WAGON/SPORT UTILITY VEHICLE
4408681,BROOKLYN,4,15,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
4465683,STATEN ISLAND,10,22,0,0,Distraction,SEDAN
4416674,QUEENS,5,12,0,1,Human_Error,SEDAN
4408029,BROOKLYN,4,0,0,1,Other_Unknown,SEDAN
4464629,MANHATTAN,10,3,0,0,Other_Unknown,BIKE
4542735,UNKNOWN,6,2,0,0,Other_Unknown,OTHER
4425252,UNKNOWN,6,16,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE
4426378,UNKNOWN,6,17,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4417930,UNKNOWN,5,19,0,0,Other_Unknown,SEDAN
4427273,MANHATTAN,6,11,0,1,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE
4418137,BROOKLYN,5,6,0,0,Other_Unknown,OTHER
4522085,BROOKLYN,4,18,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4461912,QUEENS,9,10,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE
4457454,BRONX,9,15,0,0,Other_Unknown,SEDAN
4409802,BROOKLYN,4,11,0,0,Other_Unknown,SEDAN
4489155,UNKNOWN,12,6,0,0,Human_Error,SEDAN
4409649,BROOKLYN,4,16,1,0,Other_Unknown,SEDAN
4462109,MANHATTAN,9,5,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE
