borough,month,hour,is_rush_hour,is_weekend,cause_category,vehicle_type,target
MANHATTAN,5,21,0,1,Distraction,SEDAN,0
MANHATTAN,9,6,0,0,Other_Unknown,OTHER,1
QUEENS,10,10,0,0,Human_Error,BOX TRUCK,0
BRONX,9,15,0,0,Other_Unknown,SEDAN,1
UNKNOWN,5,22,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,5,17,1,1,Other_Unknown,MOTORCYCLE,0
BROOKLYN,4,9,1,0,Other_Unknown,SEDAN,0
UNKNOWN,4,1,0,1,Other_Unknown,SEDAN,1
BROOKLYN,4,15,0,0,Other_Unknown,BUS,0
BRONX,3,12,0,0,Distraction,OTHER,0
BROOKLYN,4,14,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,10,21,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,10,0,0,0,Distraction,E-BIKE,1
UNKNOWN,10,8,1,0,Human_Error,SEDAN,1
UNKNOWN,6,9,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,9,14,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,6,10,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,10,8,1,0,Other_Unknown,SEDAN,1
UNKNOWN,12,5,0,0,Other_Unknown,SEDAN,0
UNKNOWN,5,14,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
BROOKLYN,6,20,0,0,DUI_Drugs,SEDAN,1
BRONX,9,22,0,1,Human_Error,SEDAN,1
QUEENS,6,17,1,0,Other_Unknown,BIKE,1
BRONX,8,17,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,6,8,1,0,Human_Error,SEDAN,0
UNKNOWN,5,11,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
QUEENS,6,11,0,0,Other_Unknown,SEDAN,0
STATEN ISLAND,9,23,0,1,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,5,18,1,1,Human_Error,SEDAN,1
MANHATTAN,1,19,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,6,22,0,0,Distraction,SEDAN,0
UNKNOWN,9,23,0,1,Distraction,BUS,0
MANHATTAN,4,7,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,6,17,1,0,Other_Unknown,OTHER,0
MANHATTAN,6,18,1,0,Other_Unknown,SEDAN,0
UNKNOWN,4,15,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,4,10,0,0,Human_Error,OTHER,0
BROOKLYN,5,0,0,1,Other_Unknown,SEDAN,1
UNKNOWN,6,0,0,0,Human_Error,SEDAN,1
UNKNOWN,6,11,0,0,Other_Unknown,SEDAN,0
QUEENS,5,15,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,5,11,0,1,Other_Unknown,SEDAN,0
UNKNOWN,9,23,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
MANHATTAN,9,19,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,9,6,0,1,Other_Unknown,SEDAN,1
QUEENS,9,18,1,1,Distraction,SEDAN,0
UNKNOWN,4,11,0,0,Human_Error,SEDAN,0
QUEENS,9,0,0,1,Distraction,SEDAN,1
BRONX,10,8,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
BROOKLYN,4,17,1,0,Other_Unknown,SEDAN,1
UNKNOWN,9,16,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,6,8,1,0,Aggressive_Driving,BUS,0
BROOKLYN,10,14,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,9,0,0,1,Distraction,OTHER,1
BROOKLYN,12,22,0,0,Other_Unknown,SEDAN,1
UNKNOWN,12,18,1,1,Human_Error,SEDAN,0
BROOKLYN,5,22,0,0,Road_Conditions,SEDAN,1
UNKNOWN,6,23,0,0,Other_Unknown,SEDAN,1
BROOKLYN,6,11,0,0,Other_Unknown,SEDAN,0
BROOKLYN,5,15,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
MANHATTAN,6,18,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,6,23,0,0,Human_Error,SEDAN,0
UNKNOWN,5,17,1,0,Human_Error,SEDAN,0
BRONX,5,14,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
QUEENS,6,23,0,0,Other_Unknown,SEDAN,1
BROOKLYN,5,16,1,0,Other_Unknown,SEDAN,0
BRONX,5,0,0,0,Other_Unknown,SEDAN,0
MANHATTAN,5,15,0,1,Other_Unknown,BIKE,1
UNKNOWN,4,9,1,0,Human_Error,SEDAN,0
BRONX,6,3,0,0,Distraction,SEDAN,0
MANHATTAN,3,8,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,6,19,0,0,Human_Error,SEDAN,1
QUEENS,6,20,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,4,19,0,0,Other_Unknown,SEDAN,0
MANHATTAN,10,17,1,0,Human_Error,TAXI,0
BROOKLYN,5,17,1,0,Distraction,OTHER,0
BROOKLYN,10,19,0,0,Distraction,SEDAN,1
BROOKLYN,4,18,1,0,Distraction,SEDAN,0
UNKNOWN,12,13,0,0,Other_Unknown,BOX TRUCK,1
UNKNOWN,4,13,0,0,Human_Error,SEDAN,1
BROOKLYN,12,21,0,0,Distraction,SEDAN,1
UNKNOWN,4,0,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,4,22,0,1,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,12,14,0,0,Other_Unknown,PICK-UP TRUCK,0
